,English Text,Russian,Spanish,Malysian
0,Biggest,Самый большой,Más grande,Más grande
1,Compare 3 digit numbers,Сравнить 3 цифры,Comparar números de 3 dígitos,Comparar números de 3 dígitos
2,Compare fractions,Сравнить фракции,Comparar fracciones,Comparar fracciones
3,Counting numbers up to 10,Подсчет номеров до 10,Contando números hasta 10,Contando números hasta 10
4,Division,Разделение,División,División
5,Even or odd,Четным или нечетным,Par o impar,Par o impar
6,Identify 2-dimensional shapes,Определить 2-мерные формы,Identificar formas 2-dimensionales.,Identificar formas 2-dimensionales.
7,Mixed Operations,Смешанные операции,Operaciones mixtas,Operaciones mixtas
8,Move The Character,Переместить характер,Mover el personaje,Mover el personaje
9,Multiplication,Умножение,Multiplicación,Multiplicación
10,Rounding to nearest hundred,Округление до ближайших сотен,Redondeo a cien más cercanos,Redondeo a cien más cercanos
11,Subtract with decimals,Вычесть с десятиками,Restar con decimales,Restar con decimales
12,Symmetry,Симметрия,Simetría,Simetría
13,True or False,Правда или ложь,Verdadero o falso,Verdadero o falso
14,What comes between?,Что происходит между?,¿Qué viene entre?,¿Qué viene entre?
15,Write numbers up to 10,Написать номера до 10,Escribe números hasta 10,Escribe números hasta 10
