,Company_Name,Location,Package,Website,Focus Area
0,AB InBev India,: Gurugram," INR 16,08,000",Website: https://www.ab-inbev.com/,": BigData, Machine Learning, Artificial Intelligence, Internet of Things, Enterprise AI, Deep Learning, Advanced Analytics, Data Science, Software as a Service (SaaS), Business Intelligence, Data Management, Predictive Marketing, Dashboards and Data Visualization, Sales Enablement and Intelligence, and Conversational AI"
1,AbsolutData,: Bengaluru,": INR 10,00,000",Website: https://www.absolutdata.com/,": Management Consulting, Systems Integration and Technology, Business Process Outsourcing, Application and Infrastructure Outsourcing, Digital, Technology, Strategy, Cloud, Analytics, Artificial Intelligence, Blockchain, and Security"
2,Accenture,: Ahmedabad,": INR 10,93,000",Website: http://www.accenture.com/india,: Asphalt Product Manufacturing
3,Adani Group,": Bengaluru, Noida",: Not disclosed,Website: www.adani.com,": Advertising, Analytics, Commerce, Content management, Data management, Email marketing, Personalisation."
4,Adobe,: Bengaluru,: Not disclosed,Website: https://www.adobe.com/in/,": Travel accommodations, collaborative economy, and hospitality"
5,Airbnb,: Bangalore,": INR 11,40,000",Website: https://www.airbnb.co.in/,: Aerospace & Defence
6,Airbus ,: Bengaluru,": INR 13,80,000",Website: https://www.airbus.com/,": Rail vehicles, Rail infrastructure, Turnkey systems & Services, Signaling, Services, Transportation, Mobility, Sustainable Mobility, Integrated Transport Systems, Signaling, Digital Mobility, Multimodality, and Passenger solutions"
7,Alstom,: Multiple locations,": INR 13,19,000",Website: http://www.alstom.com/,": Retail goods, Amazon prime, Consumer electronics, Digital content, Amazon video, Delivery, Amazon business, Amazon drive, Amazon Web Services, Amazon Publishing, Amazon Smile, Amazon Local, Amazon Local."
8,Amazon,: Bengaluru,": INR 13,05,000",Website: https://www.amazon.in/,": Marketing & Pricing Analytics, Forecasting & Supply Chain Analytics, Retail, and CPG"
9,Antuit.ai,: Mumbai,: Not disclosed,Website: http://www.antuit.ai/,": Cash Management Services, Debt Syndication, M&A Advisory, PE Advisory, Retail Financial Services, Trade Finance, Mortgages, SME Loans, and Banking Services"
10,Axis Bank,: Gurugram,": INR 20,51,000",Website: http://www.axisbank.com/,": Consulting, Data Analytics, Pharmaceutical, Insurance, Big Data, Commercial Operations, Incentive Compensation Management, Sales Operations Management, Sales Planning, Commercial Analytics, Pharma Analytics, Cloud Data Management, Cloud MDM, Cloud BI, Self Service BI, Artificial Intelligence, Machine Learning, Health services, Predictive Analytics, Sales Analytics, Marketing Analytics, Life Sciences, Risk Analytics, Revenue Analytics, and Customer Management"
11,Axtria,: Mumbai,: Not disclosed,Website: https://axtria.com/,": Pharmaceuticals, Consumer Health, Crop Science, Animal Health, Life Sciences, Research, Innovation, Sustainability, Health Care, Digital Farming, Food Security, Science For A Better Life, and Life sciences"
12,Bayer,: Noida,: Not disclosed,Website: https://www.bayer.com/en/,: Lending
13,Biz2Credit Inc,: Gurugram,: Not disclosed,Website: https://www.biz2credit.com/,": machine learning, visualization, augmented insights, sales & marketing, data connectors, data analytics, customer experience, client journey, data engineering, and digital products"
14,Bloom AI,: Pune,": INR 19,30,000",Website: http://bloomai.co/,": Information Technology, People Assessment, Management Consulting, Processes, Consulting Services, Revenue optimization, Productivity optimization, Profits optimization, Recognition, Rewards & Retention, Customer Experience, Customer Acquisition, Strategic Consulting, Software Services, Call Centre, BPO, KPO, Leadership, Assessments, Certifications, and Training & Development"
15,Blueocean,: New Delhi,": INR 9,54,200",Website: http://blueoceansystems.in/,": designs, manufactures and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide"
16,Boeing,: Bangalore,": INR 8,50,000",Website: http://www.boeing.com/,": Analytics Products, Artificial Intelligence Solutions, Data Science, Machine Learning, Digital Transformation, Intelligent process automation, Business Intelligence, Sales Analytics"
17,BRIDGEi2i,: Bengaluru,": INR 9,60,000",Website: http://www.bridgei2i.com/,": Outsourcing, Process Consulting, Package Based Solutions, Custom Solution Development, Application Management, Business Information Management, Artificial Intelligence, Business Consulting, Cloud, Digital, and Managed Services"
18,BYJU’S,: Pune,: Not disclosed,Website: https://byjus.com/,": OmniChannel Engagement & Commerce, eCommerce Platform, CRM and Loyalty, Customer Analytics, O2O Commerce, Marketing Cloud, Insights, Loyalty, Anywhere Commerce, Engage, Retail, Consumer Business, and Retail Analytics"
19,Capgemini,: Bengaluru,": INR 8,90,000",Website: https://www.capgemini.com/,": Marketing Analytics, Data Analytics, Analytics, Business Analytics, Retail Analytics, Customer Analytics, Machine Learning, Artificial Intelligence, Mix Modeling, Pricing Analytics, Demand Forecasting, Text Mining, and Reinforcement Learning"
20,Capillary Technologies,: Mumbai,": INR 15,60,000",Website: https://www.capillarytech.com/,": Networking, Wireless, Security, Unified Communication, Cloud, Collaboration, Data Center, Virtualization, and Unified Computing Systems"
21,Cartesian Consulting,: Bangalore,": INR 9,21,000",Website: http://www.cartesianconsulting.com/,": Commercial Banking, Investment Banking, Wealth Management, Credit Cards, Capital Markets, Equity and Fixed Income Research, Consumer Lending, Cash Management, and Transaction Services"
22,Cisco,: Hyderabad,": INR 16,50,000",Website: http://www.cisco.com/,": App and Desktop Virtualization, Networking, Enterprise Mobility Management, File Sync and Sharing, Cloud Services, digital workspace, Employee Experience, and Future of Work"
23,Cognizant,: Pan India,: Not disclosed,Website: https://www.cognizant.com/,: Consumer products manufacturing
24,Citi ,: Bengaluru,": INR 9,26,437",Website: https://www.citigroup.com/citi/,": Market Intelligence, Big Data Analytics, Digital, Market Intelligence for the Life Sciences Industry, Digital Transformation, Artificial Intelligence, Machine Learning, and Analytics and Insights"
25,Citrix,: Mumbai,": INR 12,48,200",Website: https://www.citrix.com/en-in/,": Big Data, Recommender Engine, Artificial intelligence, personalization, banking personalization, personalization platform, personalization engine, hyper personalization,"
26,Colgate – Palmolive,": Mumbai, Bangalore",: Not Disclosed,Website: www.colgatepalmolive.co.in,": Global Defense, Transportation Systems, Mission Solutions (C4ISR), Technology, Innovation, and Engineering"
27,Course5 Intelligence ,: Chennai,": INR 10,12,878",Website: https://www.crayondata.com/,": Engineering Services, Design Led Manufacturing, Networks and Operations, Geospatial, Semiconductor, Technology Solutions, and Digital Transformation"
28,Crayon Data ,: Hyderabad,: Not disclosed,Website: http://www.cubic.com/,: Computer Hardware & Software
29,Cubic Corporation ,: Hyderabad,": INR 14,71,565",Website: https://www.cyient.com/,": Marketing Analytics, Sales Analytics, Payer Analytics, Provider Analytics, Access Analytics, Patient Analytics, Biotechnology, Pharmaceuticals, Data Quality, Competitive Intelligence, Forecasting, and Market Assessments"
30,Cyient ,: Pune,": INR 6,60,000",Website: https://www.3ds.com/,": Digital Transformation, Security Transformation, IT Transformation, and Workforce Transformation"
31,Dassault Systemes,": Bengaluru, Noida",": INR 14,00,000",Website: http://www.datazymes.com/,": Business Intelligence and Analytics, Knowledge Management and Transformation, Global Markets Research, Procurement Intelligence, Supplier Risk Monitoring"
32,DataZymes ,: Pan India,": INR 11,40,000",Website: http://www.delltechnologies.com/,": e-commerce, Internet, Technology, Data Science and AI"
33,Dell Technologies,": Haryana, Bengaluru",": INR 19,62,000",Website: https://www.evalueserve.com/,": Consumer Insights, Image and Video Analytics, AI-based Forecasting Platform, Data Engineering, Data Science, Behavioural Science"
34,Evalueserve,: Bengaluru,: Not disclosed,Website: https://www.flipkart.com/,: Food & Drink Manufacturing
35,Flipkart,": Mumbai, Gurugram, Bengaluru", Not Disclosed,Website: https://fractal.ai/,": Banking & Financial Services, Energy, Insurance, Healthcare Payer, Capital Market, Healthcare Provider, Aerospace, Hi-Tech, Automotive, Hospitality, Chemical, Life Science & Pharmaceuticals, Consumer Goods, Retail, Telecom, and Transport & Logistics"
36,Fractal Analytics,: Gurugram,": INR 10,50,000",Website: https://www.gartner.com/en,": Data Storytelling, Data Visualization, Data Analytics, Business Intelligence, Process Workflow Optimization"
37,Gartner,: Mumbai,": INR 11,71,098",Website: https://www.generalmills.com/,":Engineering and R&D Services, Financial Services, Digital Business Solutions, Product Engineering, Cybersecurity and GRC Services, Hybrid Cloud Services, Data &Analytics"
38,General Mills,: New Delhi,": INR 7,09,000",Website: http://www.genpact.com/,": Application Transformation management (ATM), Business Intelligence & Analytics Services, Business Process Services, Cloudify Everything, Customer Experience Transformation, Digital Assurance Services, Enterprise solutions, Infrastructure Management Services."
